382,2325,13/09/2023,Mlc_Leaf_Sensor_Off,,0,0
384,2325,13/09/2023,Mlc_Leaf_Sensor_Orig,,0,0
386,2325,13/09/2023,Mlc_leaf_travel,,0,0
388,2325,13/09/2023,Mlc_Minr_Off,,0,0
390,2325,13/09/2023,Mlc_refl_width,,0,0
392,2325,13/09/2023,Mlc_Sensor_Gains,,0,0
394,2325,13/09/2023,Nudge_counts,,0,0
396,2325,13/09/2023,Optics_Dist_Y1_01_To_40,,0,0
398,2325,13/09/2023,Optics_Dist_Y1_41_To_80,,0,0
400,2325,13/09/2023,Optics_Dist_Y2_01_To_40,,0,0
402,2325,13/09/2023,Optics_Dist_Y2_41_To_80,,0,0
404,2325,13/09/2023,Optics_Gen_Cal_Data,,0,0
406,2325,13/09/2023,Optics_LP_X_01_To_20,,0,0
408,2325,13/09/2023,Optics_LP_X_21_To_40,,0,0
410,2325,13/09/2023,Optics_LP_X_41_To_60,,0,0
412,2325,13/09/2023,Optics_LP_X_61_To_80,,0,0
414,2325,13/09/2023,Optics_LP_Y_01_To_20,,0,0
416,2325,13/09/2023,Optics_LP_Y_21_To_40,,0,0
418,2325,13/09/2023,Optics_LP_Y_41_To_60,,0,0
420,2325,13/09/2023,Optics_LP_Y_61_To_80,,0,0
422,2325,13/09/2023,Options,,0,0
424,2325,20/09/2023,Leaf_count,,0,0
426,2325,20/09/2023,Max_leaf_currnt,,0,0
428,2325,20/09/2023,Mlc_leaf_travel,,0,1
430,2325,27/09/2023,Leaf_count,,0,0
432,2325,27/09/2023,Max_leaf_currnt,,0,0
434,2325,27/09/2023,Mlc_leaf_travel,,0,1
436,2325,28/09/2023,Leaf_count,,0,0
438,2325,28/09/2023,Max_leaf_currnt,,0,0
440,2325,28/09/2023,Mlc_leaf_travel,,0,1
442,2325,04/10/2023,Be5201,,0,1
444,2325,04/10/2023,Be5202,,0,1
446,2325,04/10/2023,Be5205,,0,1
448,2325,04/10/2023,Be5510,,1,0
450,2325,04/10/2023,Be5511,,1,0
452,2325,04/10/2023,Be5512,,1,0
454,2325,04/10/2023,Be5515,,1,0
456,2325,04/10/2023,Be5516,,1,0
458,2325,04/10/2023,Be5517,,1,0
460,2325,04/10/2023,Be5518,,1,0
462,2325,04/10/2023,Be5520,,1,0
464,2325,04/10/2023,Be5521,,1,0
466,2325,04/10/2023,Be5522,,1,0
468,2325,04/10/2023,Be5523,,1,0
470,2325,04/10/2023,Be5524,,1,0
472,2325,04/10/2023,Be5525,,1,0
474,2325,04/10/2023,Be5526,,1,0
476,2325,04/10/2023,Be5527,,1,0
478,2325,04/10/2023,Be5528,,1,0
480,2325,04/10/2023,Be5529,,1,0
482,2325,04/10/2023,Be5530,,1,0
484,2325,04/10/2023,Be5531,,1,0
486,2325,04/10/2023,Be6201,,0,0
488,2325,04/10/2023,Be6215,,0,1
490,2325,04/10/2023,Be6216,,0,1
492,2325,04/10/2023,Be6217,,0,1
494,2325,04/10/2023,Be6218,,0,0
496,2325,04/10/2023,Be6220,,0,0
498,2325,04/10/2023,Be6228,,0,1
500,2325,04/10/2023,Be6229,,0,1
502,2325,04/10/2023,Be6233,,0,1
504,2325,04/10/2023,Be6234,,0,1
506,2325,04/10/2023,Be6235,,0,1
508,2325,04/10/2023,Be6236,,0,1
510,2325,04/10/2023,Be6237,,0,1
512,2325,04/10/2023,Be6238,,0,1
514,2325,04/10/2023,Be6239,,0,1
516,2325,04/10/2023,Be6240,,0,0
